site_name,address,postcode,access_codes,access_instructions,site_contact_name,site_contact_phone,site_contact_email,notes
Croydon,,SG8 0DZ,,,,,,
Crucis Farm,,GL7 5DX,,,,,,
Crundale,,SA62 4PY,,,,,,
Crundale Extension,,SA62 4PY,,,,,,
Drakelow,,DE15 9TY,,,,,,
Eastfields,,CV33 9GX,,,,,,
Emberton,,MK46 5DN,,,,,,
Errol Estate,,PH2 7NL,,,,,,
Fareham,,PO14 1JD,,,,,,
Fields Farm,,CV47 2DH,,,,,,
Ford Farm,,BN44 3AT,,,,,,
Four Burrows,,TR4 8JA,,,,,,
Galton,,DT2 8BY,,,,,,
Glebe,,NN29 7XA,,,,,,
Goddards Green,,RH17 5AL,,,,,,
Golden Hill,,SA71 4TH,,,,,,
Gosfield,,CO9 1SA,,,,,,
Grange,,LN10 6YY,,,,,,
Grange Farm (GT),,PL15 8NS,,,,,,
Great Wilbraham,,CB8 0UH,,,,,,
Hall Farm (XC),,NR15 1NA,,,,,,
Hall Farm,,GL14 1EG,,,,,,
Hazard,,TQ9 7LN,,,,,,
Higher Tregarne,,TR11 5PH,,,,,,
Higher Trevartha,,PL14 3NJ,,,,,,
Hill House,,GL7 2AN,,,,,,
Hollies,,PE24 4SH,,,,,,
Holton,,IP19 8PQ,,,,,,
Homeland,,BH21 6QZ,,,,,,
Honington,,IP31 1EH,,,,,,
Hornacott,,PL15 9RN,,,,,,
Hurcott,,TA19 0JS,,,,,,
Kencot,,GL7 3QY,,,,,,
Kerriers,,PL30 5LR,,,,,,
Ketton 1,,PE9 3SX,,,,,,
Kickles,,MK16 8EF,,,,,,
Knowlton,,CT3 1PT,,,,,,
Lackford,,IP28 6HS,,,,,,
Langenhoe,,CO5 7NA,,,,,,
Langunnett,,PL22 0NN,,,,,,
Lee,,PO41 0XN,,,,,,
Little Bear,,EX5 2DB,,,,,,
Lovedean,,PO8 8RY,,,,,,
Luscott Barton,,EX31 4DE,,,,,,
Manston,,CT12 5AS,,,,,,
Marchington,,DE6 5GX,,,,,,
Marsh House,,GU10 5HD,,,,,,
Marshborough,,CT3 2BZ,,,,,,
Merston,,PO20 1LL,,,,,,
Milk Wall,,GL16 8QD,,,,,,
Millar Farm,,BT41 2JJ,,,,,,
Morton,,DN22 8HE,,,,,,
New Row,,BA4 4JT,,,,,,
Newby West,,CA2 6QY,,,,,,
Oaklands,,BH20 7PA,,,,,,
Odell,,NN29 7XA,,,,,,
Old Rides,,ME12 4BD,,,,,,
Oving,,PO20 2FT,,,,,,
Owl's Hatch,,CT6 7NU,,,,,,
Paddock Wood,,TN12 6NS,,,,,,
Place Farm,,TN26 2LZ,,,,,,
Port Farm,,SN6 6JT,,,,,,
Pyde Drove,,TA7 8DN,,,,,,
Pyworthy,,EX22 6LJ,,,,,,
Queen Elisabeth II,,KT12 3PP,,,,,,
Rampisham,,DT2 0HS,,,,,,
Red Hill,,TA21 0DL,,,,,,
Rexon,,PL16 0RL,,,,,,
Ring o Bells,,SN14 8HH,,,,,,
Rotherdale,,WR10 2LD,,,,,,
Roundponds,,SN12 8DF,,,,,,
Sandridge,,SN12 7GT,,,,,,
Shoals Hook,,SA62 4PB,,,,,,
Shotwick,,CH5 2NN,,,,,,
Skegness,,PE24 4UF,,,,,,
Southam,,CV47 2QG,,,,,,
Spriggs Farm,,CB10 2SA,,,,,,
Stragglethorpe,,NG12 2DR,,,,,,
Strettington,,PO18 0LB,,,,,,
Sudbrook,,NP26 5SZ,,,,,,
Tamar Heights,,EX22 6JX,,,,,,
Tengore,,TA10 9JL,,,,,,
Teyrdan,,LL29 8YU,,,,,,
Thurcroft,,S66 9JD,,,,,,
Tooleys,,CM6 3AA,,,,,,
Trehawke,,PL14 3RH,,,,,,
Trench Farm,,LL13 0NA,,,,,,
Triangle,,CB7 5HX,,,,,,
Twin Yards,,DE55 2FW,,,,,,
Upper Farm,,SO24 9SA,,,,,,
Upper Huntingford,,GL12 8EY,,,,,,
Wadebridge,,PL27 6EJ,,,,,,
Wambrook,,TA20 3PS,,,,,,
Week Farm,,EX38 7HU,,,,,,
West Carclaze,,PL26 8TX,,,,,,
West Farm,,SA72 4UN,,,,,,
West Woodlands,,BA11 5EN,,,,,,
Westerfield,,OX18 3NX,,,,,,
Westfield,,PR3 0PU,,,,,,
Westmills,,SN6 8TH,,,,,,
Weston Longville,,NR9 5LG,,,,,,
Weston Longville (ABB),,NR9 5JF,,,,,,
Westwood,,CT12 5AS,,,,,,
Whitelake,,BA4 6SY,,,,,,
Wickham,,IP13 9ND,,,,,,
Wisbridge,,SG8 8AH,,,,,,
Wolves,,WV1 3RD,,,,,,
Wrockwardine,,TF6 5EY,,,,,,
